S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
316  Points		313  Points		263  Points		183  Points		155  Points		106  Points		286  Points		227  Points		159  Points		122  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.49686	4.10423	1.6953	2.66368	3.70347	6.11064	4.93197	8.14822	6.85961	10.4335	9.49616	14.2553	3.45109	5.73909	5.12982	8.36592	7.13425	10.8139	8.5191	12.7834
2.51613	4.06397	1.73026	2.67338	3.75463	6.08692	4.96954	8.0668	6.87601	10.29	9.50681	14.0443	3.48872	5.69961	5.1415	8.2955	7.1607	10.6797	8.53585	12.6049
2.53532	4.02498	1.7652	2.68274	3.8062	6.06466	5.00719	7.9883	6.89288	10.1517	9.51756	13.84	3.52596	5.66087	5.15602	8.21294	7.1872	10.5498	8.553	12.4326
2.5545	3.98727	1.80012	2.69177	3.8581	6.04369	5.04492	7.91258	6.91021	10.0183	9.5284	13.6422	3.56278	5.6228	5.1736	8.1196	7.21374	10.4241	8.57056	12.2661
2.57369	3.95083	1.83502	2.70048	3.91029	6.02384	5.08273	7.8395	6.92801	9.88975	9.53936	13.4505	3.59919	5.58534	5.19451	8.01695	7.24031	10.3022	8.58854	12.1053
2.59294	3.91566	1.8699	2.7089	3.96269	6.00497	5.12063	7.76894	6.94629	9.76576	9.55042	13.2648	3.63515	5.54846	5.21622	7.91886	7.26691	10.184	8.60694	11.9499
2.61226	3.88173	1.90476	2.71702	4.01527	5.98696	5.15861	7.70077	6.96506	9.64613	9.56159	13.0846	3.67068	5.51209	5.23872	7.82511	7.29354	10.0694	8.62577	11.7997
2.63169	3.84902	1.9396	2.72487	4.06796	5.96969	5.19667	7.63489	6.98432	9.53069	9.57288	12.9098	3.70574	5.47621	5.26201	7.7355	7.32018	9.95815	8.64502	11.6543
2.65125	3.81751	1.97442	2.73245	4.12072	5.95305	5.23483	7.57118	7.00408	9.41927	9.58427	12.7402	3.74035	5.44078	5.2861	7.64983	7.34684	9.85014	8.66471	11.5138
2.67096	3.78717	2.00922	2.73978	4.17351	5.93697	5.27308	7.50957	7.02434	9.31169	9.59579	12.5755	3.77448	5.40578	5.31098	7.56792	7.3735	9.74522	8.68483	11.3777
2.69082	3.75797	2.04399	2.74687	4.22628	5.92135	5.31144	7.44996	7.04511	9.2078	9.60743	12.4156	3.80815	5.37116	5.33665	7.48959	7.40017	9.64324	8.70539	11.246
2.71086	3.72987	2.07873	2.75372	4.27899	5.90611	5.3499	7.39227	7.06362	9.12016	9.61919	12.2602	3.84133	5.33693	5.36309	7.41468	7.42684	9.54409	8.72639	11.1185
2.73108	3.70285	2.11346	2.76035	4.33161	5.89119	5.38847	7.33642	7.07971	9.04751	9.63107	12.1092	3.87405	5.30305	5.39032	7.34301	7.4535	9.44764	8.74783	10.995
2.7515	3.67686	2.14816	2.76676	4.38409	5.87652	5.42717	7.28236	7.09324	8.98881	9.64309	11.9624	3.90629	5.26952	5.4183	7.27443	7.48017	9.35378	8.76972	10.8753
2.77212	3.65187	2.18283	2.77297	4.43641	5.86204	5.466	7.23002	7.10407	8.94327	9.65524	11.8196	3.93806	5.23633	5.44703	7.2088	7.50682	9.26241	8.79204	10.7594
2.79295	3.62784	2.21748	2.77898	4.48851	5.84769	5.50499	7.17934	7.11211	8.91026	9.66752	11.6807	3.96937	5.20347	5.47649	7.14598	7.53005	9.18474	8.81481	10.647
2.81398	3.60476	2.25211	2.7848	4.54037	5.83343	5.54413	7.13027	7.11729	8.88935	9.67994	11.5455	4.00022	5.17093	5.50668	7.08581	7.54985	9.11992	8.83803	10.538
2.83523	3.58257	2.28671	2.79043	4.59194	5.8192	5.58344	7.08276	7.12479	8.85956	9.6925	11.4139	4.03062	5.13871	5.53756	7.02818	7.56622	9.06725	8.86168	10.4322
2.8567	3.56124	2.32129	2.79589	4.64321	5.80496	5.62295	7.03677	7.133	8.82757	9.7052	11.2858	4.06059	5.10682	5.56912	6.97295	7.57916	9.0262	8.88578	10.3297
2.87838	3.54075	2.35584	2.80119	4.69412	5.79066	5.66267	6.99225	7.14428	8.78467	9.71806	11.161	4.09013	5.07525	5.60134	6.92001	7.58868	8.99633	8.91032	10.2302
2.90028	3.52105	2.39037	2.80631	4.74464	5.77627	5.70261	6.94919	7.15872	8.73142	9.73106	11.0394	4.11926	5.044	5.6342	6.86923	7.59477	8.97736	8.9353	10.1336
2.9224	3.50213	2.42487	2.81129	4.79475	5.76175	5.74279	6.90753	7.17644	8.66848	9.74422	10.9209	4.14799	5.01309	5.66766	6.8205	7.60352	8.95028	8.96071	10.0398
2.94474	3.48395	2.45935	2.81611	4.8444	5.74706	5.78324	6.86725	7.19761	8.59661	9.75754	10.8055	4.17634	4.98252	5.70171	6.77371	7.61304	8.9211	8.98655	9.94874
2.96729	3.46647	2.4938	2.82078	4.89357	5.73217	5.82398	6.82832	7.22239	8.51669	9.77101	10.6929	4.20432	4.95229	5.73632	6.72876	7.62598	8.88184	9.01283	9.8603
2.99005	3.44968	2.52823	2.82532	4.94222	5.71706	5.86502	6.79071	7.2477	8.43939	9.78466	10.5831	4.23195	4.92241	5.77147	6.68555	7.64234	8.83286	9.03952	9.77437
