S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.186601	0.97564	0.0626623	0.298816	0.538903	2.82689	0.73109	3.84163	1.10691	5.79157	1.65242	8.7097	0.331898	1.83763	0.830341	4.37683	1.34975	7.06142	1.4024	7.38598	1.92806	10.1449
0.188365	0.975013	0.0636058	0.300545	0.538865	2.79832	0.732074	3.80813	1.10706	5.73434	1.65247	8.62215	0.332946	1.82391	0.830458	4.33331	1.34979	6.99095	1.40291	7.31423	1.92813	10.0431
0.190126	0.974377	0.0645524	0.302258	0.538832	2.77035	0.733063	3.77532	1.1072	5.67826	1.65252	8.53634	0.334	1.81052	0.830577	4.29066	1.34983	6.92188	1.40343	7.24393	1.92819	9.94333
0.191882	0.973733	0.0655021	0.303954	0.538804	2.74296	0.734058	3.74319	1.10735	5.62328	1.65257	8.45224	0.335059	1.79743	0.830698	4.24887	1.34987	6.85417	1.40394	7.17503	1.92826	9.84555
0.193634	0.973081	0.0664549	0.305635	0.538782	2.71612	0.735059	3.71172	1.1075	5.56939	1.65263	8.36978	0.336124	1.78464	0.83082	4.2079	1.34992	6.78779	1.40447	7.10751	1.92832	9.74968
0.195382	0.972422	0.0674107	0.3073	0.538765	2.68983	0.736065	3.68088	1.10765	5.51653	1.65268	8.28892	0.337194	1.77214	0.830944	4.16774	1.34996	6.72268	1.40499	7.04131	1.92839	9.65567
0.197125	0.971754	0.0683694	0.308948	0.538753	2.66407	0.737076	3.65066	1.1078	5.4647	1.65273	8.20962	0.338269	1.75991	0.831069	4.12835	1.35001	6.65883	1.40553	6.97641	1.92845	9.56346
0.198865	0.971078	0.0693311	0.310582	0.538747	2.63882	0.738093	3.62103	1.10796	5.41385	1.65279	8.13184	0.339349	1.74796	0.831196	4.08972	1.35005	6.59619	1.40606	6.91276	1.92852	9.47301
0.2006	0.970394	0.0702956	0.3122	0.538746	2.61408	0.739115	3.59199	1.10811	5.36396	1.65284	8.05551	0.340434	1.73627	0.831324	4.05182	1.3501	6.53473	1.4066	6.85032	1.92859	9.38426
0.202331	0.969702	0.0712629	0.313802	0.538752	2.58982	0.740142	3.56352	1.10827	5.315	1.6529	7.98062	0.341524	1.72482	0.831455	4.01464	1.35015	6.47441	1.40714	6.78907	1.92866	9.29717
